ts,uptime_s,role,frames_total,kernel_drops,last_frame_age_s
1776114762,1158.2298342470003,brio-operator,32375.0,0.0,0.0057729349991859635
1776114762,1158.2298342470003,c920-desk,34730.0,0.0,0.030785893999563996
1776114762,1158.2298342470003,c920-room,34714.0,0.0,0.000796038999396842
1776114762,1158.2298342470003,c920-overhead,34719.0,0.0,0.0247406359994784
1776114762,1158.2298342470003,brio-room,34684.0,0.0,0.016067210000983323
1776114762,1158.2298342470003,brio-synths,34688.0,0.0,0.017683878000752884
1776114767,1163.2337184709995,brio-operator,32520.0,0.0,0.008353862998774275
1776114767,1163.2337184709995,c920-desk,34884.0,0.0,0.03311189899977762
1776114767,1163.2337184709995,c920-room,34869.0,0.0,0.0038181330000952585
1776114767,1163.2337184709995,c920-overhead,34873.0,0.0,0.03290202700009104
1776114767,1163.2337184709995,brio-room,34839.0,0.0,0.01895928199883201
1776114767,1163.2337184709995,brio-synths,34843.0,0.0,0.021822723998411675
1776114772,1168.2350141259994,brio-operator,32661.0,0.0,0.012149984999268781
1776114772,1168.2350141259994,c920-desk,35036.0,0.0,0.0007811979994585272
1776114772,1168.2350141259994,c920-room,35021.0,0.0,0.009664366998549667
1776114772,1168.2350141259994,c920-overhead,35025.0,0.0,0.03436447199965187
1776114772,1168.2350141259994,brio-room,34991.0,0.0,0.02102886399916315
1776114772,1168.2350141259994,brio-synths,34995.0,0.0,0.02335236999897461
1776114777,1173.241810165,brio-operator,32804.0,0.0,0.02738410600068164
1776114777,1173.241810165,c920-desk,35189.0,0.0,0.00501651599915931
1776114777,1173.241810165,c920-room,35173.0,0.0,0.01570541500041145
1776114777,1173.241810165,c920-overhead,35178.0,0.0,0.007134249999580788
1776114777,1173.241810165,brio-room,35143.0,0.0,0.02616185199985921
1776114777,1173.241810165,brio-synths,35147.0,0.0,0.02753156700055115
1776114782,1178.2425820869994,brio-operator,32945.0,0.0,0.03490895899994939
1776114782,1178.2425820869994,c920-desk,35340.0,0.0,0.009765879000042332
1776114782,1178.2425820869994,c920-room,35324.0,0.0,0.019396385998334154
1776114782,1178.2425820869994,c920-overhead,35329.0,0.0,0.011400286999560194
1776114782,1178.2425820869994,brio-room,35294.0,0.0,0.026923030000034487
1776114782,1178.2425820869994,brio-synths,35298.0,0.0,0.030415988998356625
1776114787,1183.2479119600011,brio-operator,33087.0,0.0,0.007853787001295132
1776114787,1183.2479119600011,c920-desk,35492.0,0.0,0.015110698001080891
1776114787,1183.2479119600011,c920-room,35476.0,0.0,0.02687154900013411
1776114787,1183.2479119600011,c920-overhead,35481.0,0.0,0.01736496300145518
1776114787,1183.2479119600011,brio-room,35446.0,0.0,0.0008920000000216532
1776114787,1183.2479119600011,brio-synths,35450.0,0.0,0.002696680001463392
1776114792,1188.2516365780011,brio-operator,33231.0,0.0,0.010090463001688477
1776114792,1188.2516365780011,c920-desk,35646.0,0.0,0.017690867000055732
1776114792,1188.2516365780011,c920-room,35631.0,0.0,0.02313849800157186
1776114792,1188.2516365780011,c920-overhead,35635.0,0.0,0.020822102000238374
1776114792,1188.2516365780011,brio-room,35601.0,0.0,0.0024494670014973963
1776114792,1188.2516365780011,brio-synths,35605.0,0.0,0.005497761001606705
1776114798,1194.2573555029994,brio-operator,33377.0,0.0,0.012729881998893688
1776114798,1194.2573555029994,c920-desk,35802.0,0.0,0.008307842999784043
1776114798,1194.2573555029994,c920-room,35786.0,0.0,0.032251968999844394
1776114798,1194.2573555029994,c920-overhead,35791.0,0.0,0.026555835998806288
1776114798,1194.2573555029994,brio-room,35757.0,0.0,0.008523084999978892
1776114798,1194.2573555029994,brio-synths,35761.0,0.0,0.009624027999961982
1776114803,1199.259626254001,brio-operator,33520.0,0.0,0.0150927380000212
1776114803,1199.259626254001,c920-desk,35956.0,0.0,0.01979598000070837
1776114803,1199.259626254001,c920-room,35941.0,0.0,0.0026468500000191852
1776114803,1199.259626254001,c920-overhead,35945.0,0.0,0.02449319300103525
1776114803,1199.259626254001,brio-room,35911.0,0.0,0.012260547000551014
1776114803,1199.259626254001,brio-synths,35915.0,0.0,0.01286140400043223
1776114808,1204.2615875640004,brio-operator,33664.0,0.0,0.015440361999935703
1776114808,1204.2615875640004,c920-desk,36110.0,0.0,0.024395611999352695
1776114808,1204.2615875640004,c920-room,36095.0,0.0,0.011014943000191124
1776114808,1204.2615875640004,c920-overhead,36099.0,0.0,0.03399757800070802
1776114808,1204.2615875640004,brio-room,36065.0,0.0,0.013944984999398002
1776114808,1204.2615875640004,brio-synths,36069.0,0.0,0.01593404699997336
1776114813,1209.2656118579998,brio-operator,33806.0,0.0,0.02448838199961756
1776114813,1209.2656118579998,c920-desk,36262.0,0.0,0.03126778699879651
1776114813,1209.2656118579998,c920-room,36247.0,0.0,0.015315779999582446
1776114813,1209.2656118579998,c920-overhead,36252.0,0.0,0.007938736998767126
1776114813,1209.2656118579998,brio-room,36217.0,0.0,0.01679336599954695
1776114813,1209.2656118579998,brio-synths,36221.0,0.0,0.020949902000211296
1776114818,1214.2695590950007,brio-operator,33947.0,0.0,0.027399083999625873
1776114818,1214.2695590950007,c920-desk,36413.0,0.0,0.0031099850002647145
1776114818,1214.2695590950007,c920-room,36398.0,0.0,0.021404388000519248
1776114818,1214.2695590950007,c920-overhead,36403.0,0.0,0.011853332000100636
1776114818,1214.2695590950007,brio-room,36368.0,0.0,0.020890652000161936
1776114818,1214.2695590950007,brio-synths,36372.0,0.0,0.0197869300009188
1776114823,1219.2727284049997,brio-operator,34088.0,0.0,0.03253466099886282
1776114823,1219.2727284049997,c920-desk,36565.0,0.0,0.004919125000014901
1776114823,1219.2727284049997,c920-room,36549.0,0.0,0.022453008999946178
1776114823,1219.2727284049997,c920-overhead,36554.0,0.0,0.01887482999882195
1776114823,1219.2727284049997,brio-room,36519.0,0.0,0.02232037799876707
1776114823,1219.2727284049997,brio-synths,36523.0,0.0,0.027775249000114854
1776114828,1224.2790267330001,brio-operator,34229.0,0.0,0.030139864999000565
1776114828,1224.2790267330001,c920-desk,36716.0,0.0,0.011636519999228767
1776114828,1224.2790267330001,c920-room,36701.0,0.0,0.032698363000235986
1776114828,1224.2790267330001,c920-overhead,36706.0,0.0,0.0241306589996384
1776114828,1224.2790267330001,brio-room,36671.0,0.0,0.031387359000291326
1776114828,1224.2790267330001,brio-synths,36675.0,0.0,0.03345408200038946
1776114833,1229.282677864001,brio-operator,34371.0,0.0,0.03351467300126387
1776114833,1229.282677864001,c920-desk,36868.0,0.0,0.01534908100074972
1776114833,1229.282677864001,c920-room,36853.0,0.0,0.005112837001433945
1776114833,1229.282677864001,c920-overhead,36858.0,0.0,0.029861402001188253
1776114833,1229.282677864001,brio-room,36823.0,0.0,0.004156447001150809
1776114833,1229.282677864001,brio-synths,36827.0,0.0,0.0065460730002087075
1776114838,1234.2937232700006,brio-operator,34513.0,0.0,0.0042203270004392834
1776114838,1234.2937232700006,c920-desk,37020.0,0.0,0.02554639400113956
1776114838,1234.2937232700006,c920-room,37005.0,0.0,0.018504866000512266
1776114838,1234.2937232700006,c920-overhead,37010.0,0.0,0.009081771000637673
1776114838,1234.2937232700006,brio-room,36975.0,0.0,0.014101406999543542
1776114838,1234.2937232700006,brio-synths,36979.0,0.0,0.016637124999761
1776114843,1239.2951075519995,brio-operator,34654.0,0.0,0.006374250999215292
1776114843,1239.2951075519995,c920-desk,37171.0,0.0,0.02629549199991743
1776114843,1239.2951075519995,c920-room,37156.0,0.0,0.021517178998692543
1776114843,1239.2951075519995,c920-overhead,37161.0,0.0,0.011985223000010592
1776114843,1239.2951075519995,brio-room,37126.0,0.0,0.014572071999282343
